
> First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[11]		220.0	-43.2	0.2660	0.306		4.7761	0.0706	0.0000		20.000
React-ive[12]		220.0	-43.2	0.2660	0.328		4.2985	0.0770	0.0000		20.000
React-ive[13]		220.0	-43.2	0.2660	0.355		3.8209	0.0835	0.0000		20.000
React-ive[14]		220.0	-43.2	0.2660	0.386		3.3432	0.0899	0.0000		20.000
React-ive[15]		220.0	-43.2	0.2660	0.423		2.8656	0.0963	0.0000		20.000
React-ive[16]		220.0	-43.2	0.2660	0.468		2.3880	0.1027	0.0000		20.000
React-ive[17]		220.0	-43.2	0.2660	0.523		1.9104	0.1092	0.0000		20.000
React-ive[18]		220.0	-43.2	0.2660	0.594		1.4328	0.1156	0.0000		20.000
React-ive[19]		220.0	-43.2	0.2660	0.687		0.9552	0.1220	0.0000		20.000
React-ive[20]		220.0	-43.2	0.2660	0.813		0.4776	0.1284	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.1284			19.998
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-09 14:00:23 - Function time
Elapsed time: 0:00:23
Total time:   0:01:59
============================================================================================================

> Working on Reflux, PR ratio = 0.70
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-279.				5.1007	0.1170	0.2731		4.1777

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-33.4	0.2649	0.180		9.6687	0.0150	0.0000		20.000
React-ive[2]		220.0	-43.1	0.2659	0.188		9.0804	0.0177	0.0000		20.000
React-ive[3]		220.0	-43.2	0.2660	0.196		8.5990	0.0233	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.206		8.1205	0.0293	0.0000		20.000
React-ive[5]		220.0	-43.2	0.2660	0.216		7.6425	0.0356	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.227		7.1647	0.0419	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.239		6.6869	0.0482	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.253		6.2092	0.0546	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.268		5.7316	0.0609	0.0000		20.000
React-ive[10]		220.0	-43.2	0.2660	0.286		5.2539	0.0673	0.0000		20.000
