
> First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[9]		220.0	-43.2	0.2660	0.687		0.9552	0.0578	0.0000		20.000
React-ive[10]		220.0	-43.2	0.2660	0.814		0.4776	0.0642	0.0000		20.000
============================================================================================================
2018-07-06 15:18:50 - Elapsed time from last log
Elapsed time: 0:00:05
============================================================================================================

> Working to remove catalyst and feed from stage 1, unfixing temperature, changing to adiabatic:
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		220.0	0.000	0.0000	0.000		4.2985	0.0000	0.0000		20.000
React-ive[2]		220.0	-43.2	0.2660	0.328		4.2985	0.0064	0.0000		20.000
React-ive[3]		220.0	-43.2	0.2660	0.355		3.8209	0.0128	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.386		3.3432	0.0192	0.0000		20.000
React-ive[5]		220.0	-43.2	0.2660	0.423		2.8656	0.0257	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.468		2.3880	0.0321	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.524		1.9104	0.0385	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.594		1.4328	0.0449	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.687		0.9552	0.0513	0.0000		20.000
React-ive[10]		220.0	-43.2	0.2660	0.814		0.4776	0.0578	0.0000		20.000
============================================================================================================
2018-07-06 15:19:01 - Elapsed time from last log
Elapsed time: 0:00:11
============================================================================================================

> Working to remove catalyst and feed from stage 2, unfixing temperature, changing to adiabatic:
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		220.0	0.000	0.0000	0.000		3.8209	0.0000	0.0000		20.000
NON-react[2]		220.0	0.000	0.0000	0.000		3.8209	0.0000	0.0000		20.000
React-ive[3]		220.0	-43.2	0.2660	0.355		3.8209	0.0064	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.386		3.3432	0.0128	0.0000		20.000
React-ive[5]		220.0	-43.2	0.2660	0.423		2.8656	0.0192	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.468		2.3880	0.0257	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.524		1.9104	0.0321	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.595		1.4328	0.0385	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.687		0.9552	0.0449	0.0000		20.000
React-ive[10]		220.0	-43.2	0.2660	0.814		0.4776	0.0513	0.0000		20.000
============================================================================================================
2018-07-06 15:19:12 - Elapsed time from last log
Elapsed time: 0:00:10
============================================================================================================

> Working to remove catalyst and feed from stage 3, unfixing temperature, changing to adiabatic:
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		220.0	0.000	0.0000	0.000		3.3432	0.0000	0.0000		20.000
NON-react[2]		220.0	0.000	0.0000	0.000		3.3432	0.0000	0.0000		20.000
NON-react[3]		220.0	0.000	0.0000	0.000		3.3432	0.0000	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.386		3.3432	0.0064	0.0000		20.000
React-ive[5]		220.0	-43.2	0.2660	0.423		2.8656	0.0128	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.468		2.3880	0.0192	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.524		1.9104	0.0257	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.595		1.4328	0.0321	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.687		0.9552	0.0385	0.0000		20.000
React-ive[10]		220.0	-43.2	0.2660	0.814		0.4776	0.0449	0.0000		20.000
============================================================================================================
2018-07-06 15:19:22 - Elapsed time from last log
Elapsed time: 0:00:11
============================================================================================================

> Working to remove catalyst and feed from stage 5, unfixing temperature, changing to adiabatic:
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		220.0	0.000	0.0000	0.000		2.8656	0.0000	0.0000		20.000
NON-react[2]		220.0	0.000	0.0000	0.000		2.8656	0.0000	0.0000		20.000
NON-react[3]		220.0	0.000	0.0000	0.000		2.8656	0.0000	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.423		2.8656	0.0064	0.0000		20.000
NON-react[5]		220.0	0.000	0.0000	0.000		2.3880	0.0064	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.468		2.3880	0.0128	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.524		1.9104	0.0192	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.595		1.4328	0.0257	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.687		0.9552	0.0321	0.0000		20.000
React-ive[10]		220.0	-43.2	0.2660	0.814		0.4776	0.0385	0.0000		20.000
============================================================================================================
2018-07-06 15:19:33 - Elapsed time from last log
Elapsed time: 0:00:11
============================================================================================================

> Working to remove catalyst and feed from stage 10, unfixing temperature, changing to adiabatic:
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		220.0	0.000	0.0000	0.000		2.3880	0.0000	0.0000		20.000
NON-react[2]		220.0	0.000	0.0000	0.000		2.3880	0.0000	0.0000		20.000
NON-react[3]		220.0	0.000	0.0000	0.000		2.3880	0.0000	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.468		2.3880	0.0064	0.0000		20.000
NON-react[5]		220.0	0.000	0.0000	0.000		1.9104	0.0064	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.524		1.9104	0.0128	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.595		1.4328	0.0192	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.687		0.9552	0.0257	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.815		0.4776	0.0321	0.0000		20.000
NON-react[10]		220.0	0.000	0.0000	0.000		0.0000	0.0321	0.0000		20.000
============================================================================================================
2018-07-06 15:19:44 - Elapsed time from last log
Elapsed time: 0:00:11
============================================================================================================

> Reactive distillation column assembled, ready to solve, DOF: 

------------------------------------------------------------------------------------------------------------
Active Equality Constraints:	 15537
Active Inequality Constraints:	 11
Active Variables:		 15862
Fixed Variables:		 287
DOF:				 38

> Initialization with no reflux and reboil complete
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-67.4				1.2741	0.0000	0.0691		1.0447

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		220.0	0.000	0.0000	0.000		2.3880	0.0000	0.0000		20.021
NON-react[2]		220.0	0.000	0.0000	0.000		2.3880	0.0000	0.0000		20.005
NON-react[3]		220.0	0.000	0.0000	0.000		2.3880	0.0000	0.0000		20.006
React-ive[4]		220.0	-43.2	0.2660	0.468		2.3880	0.0064	0.0000		20.000
NON-react[5]		220.0	0.000	0.0000	0.000		1.9104	0.0064	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.524		1.9104	0.0128	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.595		1.4328	0.0192	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.687		0.9552	0.0257	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.815		0.4776	0.0321	0.0000		20.000
NON-react[10]		219.9	0.000	0.0000	0.000		0.0000	0.0321	0.0000		19.998

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.0321			19.994
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-06 15:19:58 - Elapsed time from last log
Elapsed time: 0:00:14
============================================================================================================

> Working on Reflux, PR ratio = 0.70
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-67.3				1.2749	0.0283	0.0662		1.0443

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		200.4	0.000	0.0000	0.000		2.4138	0.0131	0.0000		20.000
NON-react[2]		215.6	0.000	0.0000	0.000		2.3986	0.0088	0.0000		20.000
NON-react[3]		218.0	0.000	0.0000	0.000		2.3943	0.0048	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.468		2.3903	0.0103	0.0000		20.000
NON-react[5]		219.6	0.000	0.0000	0.000		1.9117	0.0098	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.524		1.9111	0.0158	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.595		1.4331	0.0221	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.687		0.9553	0.0284	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.814		0.4776	0.0348	0.0000		20.000
NON-react[10]		219.9	0.000	0.0000	0.000		0.0000	0.0348	0.0000		19.998

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.0348			19.994
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-06 15:20:53 - Elapsed time from last log
Elapsed time: 0:00:55
============================================================================================================

> Working on Reflux, PR ratio = 0.60
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-67.3				1.2758	0.0426	0.0638		1.0439

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		193.9	0.000	0.0000	0.000		2.4262	0.0256	0.0000		20.000
NON-react[2]		212.9	0.000	0.0000	0.000		2.4093	0.0188	0.0000		20.000
NON-react[3]		216.8	0.000	0.0000	0.000		2.4025	0.0120	0.0000		20.000
React-ive[4]		220.0	-43.0	0.2659	0.468		2.3956	0.0150	0.0000		20.000
NON-react[5]		219.1	0.000	0.0000	0.000		1.9144	0.0134	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.524		1.9128	0.0187	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.594		1.4339	0.0246	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.687		0.9557	0.0307	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.814		0.4778	0.0369	0.0000		20.000
NON-react[10]		219.9	0.000	0.0000	0.000		0.0000	0.0369	0.0000		19.998

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.0369			19.994
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-06 15:21:42 - Elapsed time from last log
Elapsed time: 0:00:48
============================================================================================================

> Working on Reflux, PR ratio = 0.50
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-67.5				1.2776	0.0609	0.0609		1.0431

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		187.6	0.000	0.0000	0.000		2.4426	0.0445	0.0000		20.000
NON-react[2]		210.0	0.000	0.0000	0.000		2.4262	0.0351	0.0000		20.000
NON-react[3]		215.7	0.000	0.0000	0.000		2.4168	0.0253	0.0000		20.000
React-ive[4]		220.0	-42.6	0.2656	0.467		2.4070	0.0233	0.0000		20.000
NON-react[5]		218.4	0.000	0.0000	0.000		1.9203	0.0197	0.0000		20.000
React-ive[6]		220.0	-43.1	0.2659	0.523		1.9167	0.0230	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2659	0.594		1.4357	0.0280	0.0000		20.000
